sha,message,author,committer,url,total_changes,organization,repository
fa08cf93f369159ce09e843d68ab90fd64a3d3b3,Use triple `///` for doc comments so they show up on hover (#51),Kyle Barron,GitHub,https://github.com/datafusion-contrib/arrow-zarr/commit/fa08cf93f369159ce09e843d68ab90fd64a3d3b3,188,datafusion-contrib,arrow-zarr
8ad33b655ead6ef7c79805f8475420036fa12e93,Store Arc<Schema> instead of Schema to reduce cloning overhead (#50),Kyle Barron,GitHub,https://github.com/datafusion-contrib/arrow-zarr/commit/8ad33b655ead6ef7c79805f8475420036fa12e93,78,datafusion-contrib,arrow-zarr
b461ec0dfa57e9ef6316e17ca8e79cd1cbc58459,fix: include libexpat.so.1 in the titiler code package (#182),Henry Rodman,GitHub,https://github.com/developmentseed/eoapi-cdk/commit/b461ec0dfa57e9ef6316e17ca8e79cd1cbc58459,4,developmentseed,eoAPI-cdk
b01e2b0afade7984298d945792cd0b5fc5bd9f8b,chore: add MIT license (#180),Henry Rodman,GitHub,https://github.com/developmentseed/eoapi-cdk/commit/b01e2b0afade7984298d945792cd0b5fc5bd9f8b,21,developmentseed,eoAPI-cdk
d8c28fc6a48f5d76f5657db834653da689b204f6,docs: Add download count badge to README (#856),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/d8c28fc6a48f5d76f5657db834653da689b204f6,3,developmentseed,lonboard
2c03f49884b96932a19f02b46177ed4c33ee2ea7,chore: Cleaner handling of chunked array input into BaseArrowLayer.__init__ (#855),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/2c03f49884b96932a19f02b46177ed4c33ee2ea7,8,developmentseed,lonboard
77ec77e485bde62d7a5d1e7c56c0a8f36e7ea905,chore: Bump geoarrow-rust dep (#854),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/77ec77e485bde62d7a5d1e7c56c0a8f36e7ea905,78,developmentseed,lonboard
88c156e5ebc65c8623e184bcfb468838cf7f23e6,feat: Support parsing `geoarrow.geometry` input; read WKB/WKT without shapely dep (#846),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/88c156e5ebc65c8623e184bcfb468838cf7f23e6,361,developmentseed,lonboard
879c5df8c941d0d71b74b1cf3d410fd5369dee8a,fix: Remove broken screenshot in examples (#847),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/879c5df8c941d0d71b74b1cf3d410fd5369dee8a,5,developmentseed,lonboard
1553c27e048c979547aec7844aefdd71e3f07e64,perf: Avoid numpy memory copy when shapely-produced offsets are already `int32` (#845),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/1553c27e048c979547aec7844aefdd71e3f07e64,10,developmentseed,lonboard
b67ae5a46cfd4acd9bf9a6803c317612d80dd88b,ci: Add CI test for Python 3.13 (#844),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/b67ae5a46cfd4acd9bf9a6803c317612d80dd88b,39,developmentseed,lonboard
94a4677b3c0509a4045ec5d08cb6210d681e035c,chore!: Require Python 3.10 or higher (#843),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/94a4677b3c0509a4045ec5d08cb6210d681e035c,995,developmentseed,lonboard
aaa92611834a51923fe3e126bb6136ee1a0a50b9,chore: Prepare for 0.8.1 release (#542),Kyle Barron,GitHub,https://github.com/developmentseed/obstore/commit/aaa92611834a51923fe3e126bb6136ee1a0a50b9,13,developmentseed,obstore
