sha,message,author,committer,url,total_changes,organization,repository
8138f63887778c56832416ed3c3be30bbb7ee94e,WIP: fix mosaic backend feature projections (#882),Henry Rodman,GitHub,https://github.com/cogeotiff/rio-tiler/commit/8138f63887778c56832416ed3c3be30bbb7ee94e,100,cogeotiff,rio-tiler
78f434a960737ec46ec62dacbe361bc87913edeb,feat: Creation of AsyncReader  (#854),Kyle Barron,GitHub,https://github.com/cogeotiff/rio-tiler/commit/78f434a960737ec46ec62dacbe361bc87913edeb,1778,cogeotiff,rio-tiler
21eceb7aa675af4e42a538975822eb78e2eb75fb,Correct typos in warning messages (#858),Chuck Daniels,GitHub,https://github.com/cogeotiff/rio-tiler/commit/21eceb7aa675af4e42a538975822eb78e2eb75fb,4,cogeotiff,rio-tiler
e19918d02bcf7bd1514bb5c4faa22704274bbfd0,Pass rasterio env settings to threads (#855),Chuck Daniels,GitHub,https://github.com/cogeotiff/rio-tiler/commit/e19918d02bcf7bd1514bb5c4faa22704274bbfd0,777,cogeotiff,rio-tiler
535034bf469deaa7b08f51ea7463b397f321ae3d,feat: expose maxRequests on COGLayer (#333),Max Jones,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/535034bf469deaa7b08f51ea7463b397f321ae3d,21,developmentseed,deck.gl-raster
63d63708f3b3e105e68a17bee84a2bc0cfeeb487,feat: User-configurable coalesce range (#627),Max Jones,GitHub,https://github.com/developmentseed/obstore/commit/63d63708f3b3e105e68a17bee84a2bc0cfeeb487,106,developmentseed,obstore
4724d20f2405c30778149d0cec8dbd31f0c3d21b,Learning to count (#21),Max Jones,GitHub,https://github.com/developmentseed/datacube-guide/commit/4724d20f2405c30778149d0cec8dbd31f0c3d21b,2,developmentseed,datacube-guide
d9d1273da94e7936351332d6b7df4a713f7d9fe6,Fix fsspec figure and related guides (#20),Max Jones,GitHub,https://github.com/developmentseed/datacube-guide/commit/d9d1273da94e7936351332d6b7df4a713f7d9fe6,19,developmentseed,datacube-guide
5eb0b1084433fddaba12d2a07eb92fd14cdb6b5a,Add skeleton for full visualization section (#19),Max Jones,GitHub,https://github.com/developmentseed/datacube-guide/commit/5eb0b1084433fddaba12d2a07eb92fd14cdb6b5a,80,developmentseed,datacube-guide
7810ae7edce62dcc41a619c1a6e53395f7a0c393,"Add figure from Butler et al., 2025 (#18)",Max Jones,GitHub,https://github.com/developmentseed/datacube-guide/commit/7810ae7edce62dcc41a619c1a6e53395f7a0c393,4,developmentseed,datacube-guide
02acb7ded77fc87ce20e3f6b523ea0c871e2ed67,Fix/map point query mosaic (#1338),Henry Rodman,GitHub,https://github.com/developmentseed/titiler/commit/02acb7ded77fc87ce20e3f6b523ea0c871e2ed67,80,developmentseed,titiler
a935fd498428761bfb15fb6656765baa81632dcb,Fix: allow : characters in xarray reader's sel parameter (#1336),Henry Rodman,GitHub,https://github.com/developmentseed/titiler/commit/a935fd498428761bfb15fb6656765baa81632dcb,32,developmentseed,titiler
973080ff0ac865dc56a0fb35b0155ea55b3a2b8b,fix: load S3 credentials and pass to openers in compatibility endpoint (#131),Henry Rodman,GitHub,https://github.com/developmentseed/titiler-cmr/commit/973080ff0ac865dc56a0fb35b0155ea55b3a2b8b,66,developmentseed,titiler-cmr
250f892635d8ab5d9bce4cd7e05b3fd4c33c1b7c,Merge pull request #5 from tylanderson/ta/limit-initialize_store-ancestry,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/250f892635d8ab5d9bce4cd7e05b3fd4c33c1b7c,7,developmentseed,virtualizarr-data-pipelines
05932a5c066bb6fad30bf4348977c6dab671fe62,"in initialize_store, only load up to 2 snapshots from ancestry",Tyler,Tyler,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/05932a5c066bb6fad30bf4348977c6dab671fe62,7,developmentseed,virtualizarr-data-pipelines
616dba8d01b2bd8ac5c7a6c2405f6a8f25c1b8ea,Add link to metazarr (#30),Max Jones,GitHub,https://github.com/developmentseed/geozarr-examples/commit/616dba8d01b2bd8ac5c7a6c2405f6a8f25c1b8ea,1,developmentseed,geozarr-examples
d1eb56d0fd6e288d077c6f8dac0d1717c992c1d8,Use geozarr-toolkit in examples (#29),Max Jones,GitHub,https://github.com/developmentseed/geozarr-examples/commit/d1eb56d0fd6e288d077c6f8dac0d1717c992c1d8,162,developmentseed,geozarr-examples
