sha,message,author,committer,url,total_changes,organization,repository
0fabdf7c04ff135dd8160f39bf7a0fbb2f402f46,Enhance documentation on Zarr store interactions (#204),Aimee Barciauskas,GitHub,https://github.com/cloudnativegeo/cloud-optimized-geospatial-formats-guide/commit/0fabdf7c04ff135dd8160f39bf7a0fbb2f402f46,1,cloudnativegeo,cloud-optimized-geospatial-formats-guide
0436917126d4e739edd0e04c377cfed47b80ad2f,Merge pull request #5 from developmentseed/fix/batchprocessor,Sean Harkins,GitHub,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/0436917126d4e739edd0e04c377cfed47b80ad2f,380,developmentseed,naqfc-virtualizarr-data-pipelines
b0bbef7764871668fdd40f617211e3a834f1c502,"fix: Update processor to support append, region and creation modes. (#2)",Sean Harkins,GitHub,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/b0bbef7764871668fdd40f617211e3a834f1c502,326,developmentseed,naqfc-virtualizarr-data-pipelines
43cc8a86994562d7f7aa9d5dd671bac76a17ca33,Formatting fix.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/43cc8a86994562d7f7aa9d5dd671bac76a17ca33,15,developmentseed,naqfc-virtualizarr-data-pipelines
ffada79cdf1d0ed27c029e10471fd60f26c26b58,Fix multi-line bash formatting.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/ffada79cdf1d0ed27c029e10471fd60f26c26b58,16,developmentseed,naqfc-virtualizarr-data-pipelines
cd50be2953919c940895565de1db103feba0b4b6,Update README with NAQFC specific instructions.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/cd50be2953919c940895565de1db103feba0b4b6,34,developmentseed,naqfc-virtualizarr-data-pipelines
d7724368a39354fa65ce75ce629e61a729d6a632,Refactoring to support variable/domain specific stack configuration.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/d7724368a39354fa65ce75ce629e61a729d6a632,1997,developmentseed,naqfc-virtualizarr-data-pipelines
1db3e3e9b1bfb1116c83da19987213f3ad9b9585,Don't include a materialized valid_time coordinate.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/1db3e3e9b1bfb1116c83da19987213f3ad9b9585,187,developmentseed,naqfc-virtualizarr-data-pipelines
29ae7162669f7cae48f5d9ab0c48a0d14130f691,First.,sharkinsspatial,sharkinsspatial,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/29ae7162669f7cae48f5d9ab0c48a0d14130f691,2621,developmentseed,naqfc-virtualizarr-data-pipelines
c27fc8d4d668a8e5e85e6d13b73589322807fb41,Initial commit,Sean Harkins,GitHub,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/commit/c27fc8d4d668a8e5e85e6d13b73589322807fb41,32900,developmentseed,naqfc-virtualizarr-data-pipelines
1798f2e183e2a1bc5fdb9c94e2f98ce44b580628,fix: stop CDNs from caching error responses (#148),Max Jones,GitHub,https://github.com/developmentseed/titiler-multidim/commit/1798f2e183e2a1bc5fdb9c94e2f98ce44b580628,16,developmentseed,titiler-multidim
4d1c305130b2a60a45e328da4ff52c68174ab6a7,"feat: typed, opt-in configuration for icechunk virtual chunk access (…",Max Jones,GitHub,https://github.com/developmentseed/titiler-multidim/commit/4d1c305130b2a60a45e328da4ff52c68174ab6a7,445,developmentseed,titiler-multidim
93a168872b520bc5770122b14b8414dc3edd80d2,refactor: reader readability and typing cleanups (#145),Max Jones,GitHub,https://github.com/developmentseed/titiler-multidim/commit/93a168872b520bc5770122b14b8414dc3edd80d2,92,developmentseed,titiler-multidim
32e26673f3afab37fc39f27d42a400d3d6f470dd,chore: require icechunk >=2.1 (#142),Max Jones,GitHub,https://github.com/developmentseed/titiler-multidim/commit/32e26673f3afab37fc39f27d42a400d3d6f470dd,52,developmentseed,titiler-multidim
d8b27d5560f9d439bac4ae99d7bc4cadcbbe2676,ci: make CDK checks anonymous so they run on fork PRs (#144),Max Jones,GitHub,https://github.com/developmentseed/titiler-multidim/commit/d8b27d5560f9d439bac4ae99d7bc4cadcbbe2676,67,developmentseed,titiler-multidim
dd2519df42eb9b9e3964b38760914e5d7cc54c03,Merge pull request #26 from developmentseed/processor_write_modes,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/dd2519df42eb9b9e3964b38760914e5d7cc54c03,364,developmentseed,virtualizarr-data-pipelines
55390a4165b5638c21f88122e5f731b715eb16e5,Merge pull request #28 from developmentseed/fix/backfill_bucket,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/55390a4165b5638c21f88122e5f731b715eb16e5,167,developmentseed,virtualizarr-data-pipelines
befcd06f2e3f44d283dcaafa48208464cd9b9c50,Merge pull request #27 from developmentseed/fix/icechunk_region,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/befcd06f2e3f44d283dcaafa48208464cd9b9c50,84,developmentseed,virtualizarr-data-pipelines
23d560404ba344b940e3d73b06497cf348d6d2a9,fix: install aws-cdk where uv can find it (#19),Max Jones,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/23d560404ba344b940e3d73b06497cf348d6d2a9,16,developmentseed,virtualizarr-data-pipelines
ad5fdf576d215195d17981b790efc85a3f4090ae,Merge pull request #20 from developmentseed/fix/partitioned_errors,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/ad5fdf576d215195d17981b790efc85a3f4090ae,162,developmentseed,virtualizarr-data-pipelines
3844ddc1e59849f35d7655dbb9708d05b3faf429,Merge pull request #15 from developmentseed/partitioned_processing,Sean Harkins,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/3844ddc1e59849f35d7655dbb9708d05b3faf429,26100,developmentseed,virtualizarr-data-pipelines
ea5200a00189f237becc78113a88cc7dfa803ae8,docs: add dark-mode variant of architecture figure (#17),Max Jones,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/ea5200a00189f237becc78113a88cc7dfa803ae8,4,developmentseed,virtualizarr-data-pipelines
cc848d2cfe1d0fe30fb4a17f693dccffc6a92c3e,Fix typo in .env.sample (#16),Max Jones,GitHub,https://github.com/developmentseed/virtualizarr-data-pipelines/commit/cc848d2cfe1d0fe30fb4a17f693dccffc6a92c3e,12,developmentseed,virtualizarr-data-pipelines
92d26b65b90e9715d5c658c71b9216449f25ae64,docs: 0.1 release blog post (#182),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/92d26b65b90e9715d5c658c71b9216449f25ae64,7769,developmentseed,zarrista
e2bf68a58d55f9da1c248222b479610528c75e18,chore: Set version to 0.1.0-rc.1 (#180),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/e2bf68a58d55f9da1c248222b479610528c75e18,9,developmentseed,zarrista
01231a011fd605d1c7bc636c049c9243b3cba1b5,perf: Opt-in to zlib-rs for gzip encode/decode (#179),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/01231a011fd605d1c7bc636c049c9243b3cba1b5,12,developmentseed,zarrista
a38d3a99d4ec608717e1fccbf4497ea88c349731,feat: array setitem (#178),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/a38d3a99d4ec608717e1fccbf4497ea88c349731,51,developmentseed,zarrista
a515a14f88caf2d4fccb901dd05eb2280cebe90b,refactor!: Positional-only param API review (#177),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/a515a14f88caf2d4fccb901dd05eb2280cebe90b,583,developmentseed,zarrista
93e357bcd9f9b3cc3a62f4a85c8fa4b4f579aa8f,docs: Docs pass for 0.1 (#176),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/93e357bcd9f9b3cc3a62f4a85c8fa4b4f579aa8f,787,developmentseed,zarrista
6af1bdd10100345749d152264eb61552b322cfc6,feat: Support setting attrs and consolidated metadata on `Group` (#174),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/6af1bdd10100345749d152264eb61552b322cfc6,340,developmentseed,zarrista
1018965daa5e3727ad9c5acc27f6732b86a2460b,refactor!: Rename the decoded result types to the `Tensor` family (#172),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/1018965daa5e3727ad9c5acc27f6732b86a2460b,478,developmentseed,zarrista
05bda50f89801b9c9bed5e6f8f0506b848b7b078,bump beta to 0.1.0-beta.8 (#169),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/05bda50f89801b9c9bed5e6f8f0506b848b7b078,4,developmentseed,zarrista
6201e2972f23c5dfa58e382d41c979306cf2b4a2,feat: Implement `__repr__` for remaining types (#168),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/6201e2972f23c5dfa58e382d41c979306cf2b4a2,161,developmentseed,zarrista
a72655dced34ce4194b73ced1284b4e75047d2a4,feat: Consistency pass for `__repr__` (#167),Kyle Barron,GitHub,https://github.com/developmentseed/zarrista/commit/a72655dced34ce4194b73ced1284b4e75047d2a4,222,developmentseed,zarrista
