number,title,type,url,engagement_kinds,created_at,updated_at,organization,repository,contributor
193,FY2026 Roadmap,Issue,https://github.com/cloudnativegeo/cloud-optimized-geospatial-formats-guide/issues/193,comment,2026-05-13T00:28:05Z,2026-07-20T14:56:48Z,cloudnativegeo,cloud-optimized-geospatial-formats-guide,abarciauskas-bgse
205,Add format-selection decision framework page and case studies,PullRequest,https://github.com/cloudnativegeo/cloud-optimized-geospatial-formats-guide/pull/205,"comment,review",2026-08-03T15:28:20Z,2026-08-21T07:18:29Z,cloudnativegeo,cloud-optimized-geospatial-formats-guide,abarciauskas-bgse
1,feat: scope grants to prefix within bucket,PullRequest,https://github.com/developmentseed/naqfc-virtualizarr-data-pipelines/pull/1,"comment,review",2026-08-20T21:17:07Z,2026-08-24T16:09:42Z,developmentseed,naqfc-virtualizarr-data-pipelines,sharkinsspatial
154,Use distributed cache for caching EDL user token and S3 temporary credentials,Issue,https://github.com/developmentseed/titiler-cmr/issues/154,comment,2026-04-02T14:29:36Z,2026-08-20T10:55:33Z,developmentseed,titiler-cmr,hrodmn
213,Expand the statistics endpoint documentation,Issue,https://github.com/developmentseed/titiler-cmr/issues/213,opened,2026-08-19T20:10:51Z,2026-08-19T20:10:51Z,developmentseed,titiler-cmr,hrodmn
137,feat: upgrade to titiler 2.2,PullRequest,https://github.com/developmentseed/titiler-multidim/pull/137,review,2026-08-13T20:01:22Z,2026-08-14T17:22:39Z,developmentseed,titiler-multidim,maxrjones
143,Cost start times,Discussion,https://github.com/developmentseed/titiler-multidim/discussions/143,discussion,2026-08-17T20:07:30Z,2026-08-17T20:26:20Z,developmentseed,titiler-multidim,hrodmn
143,Cost start times,Discussion,https://github.com/developmentseed/titiler-multidim/discussions/143,discussion,2026-08-17T20:07:30Z,2026-08-17T20:26:20Z,developmentseed,titiler-multidim,maxrjones
14,Some additional configuration and typing additions/fixes,PullRequest,https://github.com/developmentseed/virtualizarr-data-pipelines/pull/14,review,2026-06-19T00:22:49Z,2026-07-23T15:25:13Z,developmentseed,virtualizarr-data-pipelines,maxrjones
14,Some additional configuration and typing additions/fixes,PullRequest,https://github.com/developmentseed/virtualizarr-data-pipelines/pull/14,comment,2026-06-19T00:22:49Z,2026-07-23T15:25:13Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
21,Add support for S3 Inventory report Parquet.,Issue,https://github.com/developmentseed/virtualizarr-data-pipelines/issues/21,opened,2026-07-24T23:34:52Z,2026-07-24T23:34:55Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
22,Cron job for dimension expansion.,Issue,https://github.com/developmentseed/virtualizarr-data-pipelines/issues/22,opened,2026-08-06T15:23:31Z,2026-08-06T15:23:31Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
23,Add Cloudwatch alarms for Lambda failure rates.,Issue,https://github.com/developmentseed/virtualizarr-data-pipelines/issues/23,opened,2026-08-17T21:56:49Z,2026-08-17T21:56:49Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
47,Implement conversion of Python array data -> Rust for upload/writing to Array,Issue,https://github.com/developmentseed/zarrista/issues/47,comment,2026-06-23T21:01:43Z,2026-08-04T20:08:42Z,developmentseed,zarrista,kylebarron
56,Integrate with zarr-python `Store` base class,Issue,https://github.com/developmentseed/zarrista/issues/56,comment,2026-06-23T22:13:06Z,2026-07-30T17:20:13Z,developmentseed,zarrista,kylebarron
85,Epic: fleshing out a low-level library,Issue,https://github.com/developmentseed/zarrista/issues/85,comment,2026-07-09T16:59:13Z,2026-08-07T16:13:11Z,developmentseed,zarrista,kylebarron
86,expose methods on python store classes,Issue,https://github.com/developmentseed/zarrista/issues/86,comment,2026-07-10T20:55:53Z,2026-07-20T14:53:54Z,developmentseed,zarrista,d-v-b
86,expose methods on python store classes,Issue,https://github.com/developmentseed/zarrista/issues/86,comment,2026-07-10T20:55:53Z,2026-07-20T14:53:54Z,developmentseed,zarrista,kylebarron
87,Add `Array.store_metadata` and `AsyncArray.store_metadata`,Issue,https://github.com/developmentseed/zarrista/issues/87,"comment,opened",2026-07-14T15:43:38Z,2026-07-21T11:15:48Z,developmentseed,zarrista,kylebarron
88,Improve docs that `Array.from_metadata` does not mutate/write metadata,Issue,https://github.com/developmentseed/zarrista/issues/88,"comment,opened",2026-07-14T15:44:10Z,2026-07-21T11:15:49Z,developmentseed,zarrista,kylebarron
89,pickle support,Issue,https://github.com/developmentseed/zarrista/issues/89,opened,2026-07-15T00:31:36Z,2026-07-15T00:31:36Z,developmentseed,zarrista,kylebarron
91,Add dependabot,Issue,https://github.com/developmentseed/zarrista/issues/91,opened,2026-07-21T10:05:56Z,2026-07-21T10:22:27Z,developmentseed,zarrista,kylebarron
100,define a chunked array protocol,Issue,https://github.com/developmentseed/zarrista/issues/100,"comment,opened",2026-07-21T11:16:09Z,2026-07-21T15:20:22Z,developmentseed,zarrista,d-v-b
100,define a chunked array protocol,Issue,https://github.com/developmentseed/zarrista/issues/100,comment,2026-07-21T11:16:09Z,2026-07-21T15:20:22Z,developmentseed,zarrista,kylebarron
103,Add import sorting to CI,Issue,https://github.com/developmentseed/zarrista/issues/103,opened,2026-07-22T13:48:59Z,2026-07-30T15:40:44Z,developmentseed,zarrista,kylebarron
104,FYI: zarrista depends on icechunk via zarrista.store,Issue,https://github.com/developmentseed/zarrista/issues/104,comment,2026-07-22T14:09:01Z,2026-07-30T17:25:32Z,developmentseed,zarrista,kylebarron
106,Support multi-chunk writes,Issue,https://github.com/developmentseed/zarrista/issues/106,"comment,opened",2026-07-23T13:12:32Z,2026-08-04T22:56:47Z,developmentseed,zarrista,kylebarron
107,Is it a problem to reconstruct & have two icechunk sessions,Issue,https://github.com/developmentseed/zarrista/issues/107,opened,2026-07-23T13:44:44Z,2026-07-23T13:44:44Z,developmentseed,zarrista,kylebarron
108,Explore DLPack ownership semantics in order to optionally give mutable memory to Python,Issue,https://github.com/developmentseed/zarrista/issues/108,"comment,opened",2026-07-23T13:46:16Z,2026-08-07T15:24:49Z,developmentseed,zarrista,kylebarron
109,Support filling a chunk/array subset into a target buffer,Issue,https://github.com/developmentseed/zarrista/issues/109,opened,2026-07-23T14:50:17Z,2026-07-23T14:50:17Z,developmentseed,zarrista,kylebarron
110,chore(deps): bump zarrs_object_store from 0.6.2 to 0.7.0,PullRequest,https://github.com/developmentseed/zarrista/pull/110,comment,2026-07-27T14:56:50Z,2026-07-30T14:17:40Z,developmentseed,zarrista,kylebarron
111,Support resizing existing arrays,Issue,https://github.com/developmentseed/zarrista/issues/111,opened,2026-07-28T17:43:19Z,2026-07-31T14:14:13Z,developmentseed,zarrista,kylebarron
112,handle zarr-metadata 0.4.0,Issue,https://github.com/developmentseed/zarrista/issues/112,opened,2026-07-29T20:07:32Z,2026-07-30T14:11:17Z,developmentseed,zarrista,d-v-b
112,handle zarr-metadata 0.4.0,Issue,https://github.com/developmentseed/zarrista/issues/112,comment,2026-07-29T20:07:32Z,2026-07-30T14:11:17Z,developmentseed,zarrista,kylebarron
113,fix: adapt to zarr-metadata 0.4 type renames,PullRequest,https://github.com/developmentseed/zarrista/pull/113,"comment,review",2026-07-29T20:11:22Z,2026-08-03T16:36:38Z,developmentseed,zarrista,kylebarron
116,feat: add Array.with_shape and Array.with_chunk_grid,PullRequest,https://github.com/developmentseed/zarrista/pull/116,"comment,review",2026-07-30T16:29:32Z,2026-08-03T16:35:23Z,developmentseed,zarrista,d-v-b
118,Allow setting array attributes,Issue,https://github.com/developmentseed/zarrista/issues/118,"comment,opened",2026-07-30T17:25:22Z,2026-08-04T22:03:03Z,developmentseed,zarrista,kylebarron
120,Ensure that all docstrings follow google docstring conventions,Issue,https://github.com/developmentseed/zarrista/issues/120,opened,2026-07-30T17:58:13Z,2026-07-31T15:48:53Z,developmentseed,zarrista,kylebarron
122,`Array.vacuum` or `Array.cleanup` method that removes any unaccessible chunks,Issue,https://github.com/developmentseed/zarrista/issues/122,"comment,opened",2026-07-31T13:51:10Z,2026-07-31T13:51:48Z,developmentseed,zarrista,kylebarron
123,Switch `Array.filters/serializer/compressors` to `Array.codec_chain`,Issue,https://github.com/developmentseed/zarrista/issues/123,"comment,opened",2026-07-31T19:18:09Z,2026-08-03T19:01:45Z,developmentseed,zarrista,kylebarron
124,Ensure we release GIL everywhere relevant,Issue,https://github.com/developmentseed/zarrista/issues/124,opened,2026-07-31T22:51:46Z,2026-08-04T20:07:17Z,developmentseed,zarrista,kylebarron
125,Allow user to manage subchunk read cache,Issue,https://github.com/developmentseed/zarrista/issues/125,opened,2026-07-31T23:22:34Z,2026-08-04T21:27:27Z,developmentseed,zarrista,kylebarron
126,feat: Refactor user-facing codec/encoded chunk API,PullRequest,https://github.com/developmentseed/zarrista/pull/126,"comment,review",2026-07-31T23:33:14Z,2026-08-03T16:35:27Z,developmentseed,zarrista,d-v-b
129,Extend `EncodedChunk` abstraction to write side,Issue,https://github.com/developmentseed/zarrista/issues/129,opened,2026-08-03T15:05:13Z,2026-08-03T15:05:13Z,developmentseed,zarrista,kylebarron
131,"feat: Make `retrieve_encoded_subchunk` return a `EncodedChunk` class, not raw bytes",PullRequest,https://github.com/developmentseed/zarrista/pull/131,"comment,review",2026-08-03T17:19:28Z,2026-08-03T18:59:44Z,developmentseed,zarrista,d-v-b
132,feat: Handle DLPack input when writing array chunks,PullRequest,https://github.com/developmentseed/zarrista/pull/132,"comment,review",2026-08-03T23:04:48Z,2026-08-10T16:11:14Z,developmentseed,zarrista,d-v-b
133,Discuss naming of CodecOptions,Issue,https://github.com/developmentseed/zarrista/issues/133,comment,2026-08-04T15:34:59Z,2026-08-04T16:44:45Z,developmentseed,zarrista,d-v-b
133,Discuss naming of CodecOptions,Issue,https://github.com/developmentseed/zarrista/issues/133,"comment,opened",2026-08-04T15:34:59Z,2026-08-04T16:44:45Z,developmentseed,zarrista,kylebarron
135,Be consistent in our API naming between `subchunk` and `shard`,Issue,https://github.com/developmentseed/zarrista/issues/135,opened,2026-08-04T20:11:29Z,2026-08-07T17:59:37Z,developmentseed,zarrista,kylebarron
136,chore: Rename `DecodedArray` to `ArrayData`,PullRequest,https://github.com/developmentseed/zarrista/pull/136,comment,2026-08-04T20:20:11Z,2026-08-10T20:29:18Z,developmentseed,zarrista,d-v-b
137,feat: Add user-accessible APIs for managing shard index caching,PullRequest,https://github.com/developmentseed/zarrista/pull/137,comment,2026-08-04T21:15:55Z,2026-08-10T16:11:16Z,developmentseed,zarrista,d-v-b
138,Implement Array equality,Issue,https://github.com/developmentseed/zarrista/issues/138,comment,2026-08-04T21:26:54Z,2026-08-05T06:26:54Z,developmentseed,zarrista,d-v-b
138,Implement Array equality,Issue,https://github.com/developmentseed/zarrista/issues/138,opened,2026-08-04T21:26:54Z,2026-08-05T06:26:54Z,developmentseed,zarrista,kylebarron
139,Consistently implement `__repr__` on user-facing objects.,Issue,https://github.com/developmentseed/zarrista/issues/139,opened,2026-08-04T21:27:12Z,2026-08-07T21:22:12Z,developmentseed,zarrista,kylebarron
141,feat: implement `Array.store_chunks`,PullRequest,https://github.com/developmentseed/zarrista/pull/141,"comment,review",2026-08-04T22:54:05Z,2026-08-10T16:11:17Z,developmentseed,zarrista,d-v-b
142,Clarify docstring on `Array.store_chunks`,Issue,https://github.com/developmentseed/zarrista/issues/142,opened,2026-08-05T14:45:00Z,2026-08-07T19:26:41Z,developmentseed,zarrista,kylebarron
143,Handle nested subchunks,Issue,https://github.com/developmentseed/zarrista/issues/143,comment,2026-08-05T14:52:02Z,2026-08-07T22:10:21Z,developmentseed,zarrista,d-v-b
143,Handle nested subchunks,Issue,https://github.com/developmentseed/zarrista/issues/143,"comment,opened",2026-08-05T14:52:02Z,2026-08-07T22:10:21Z,developmentseed,zarrista,kylebarron
147,Improve performance of exporting variable-width strings to numpy StringDType,Issue,https://github.com/developmentseed/zarrista/issues/147,"comment,opened",2026-08-05T21:07:29Z,2026-08-06T15:29:56Z,developmentseed,zarrista,kylebarron
153,Support global configuration?,Issue,https://github.com/developmentseed/zarrista/issues/153,comment,2026-08-07T16:02:54Z,2026-08-12T10:05:29Z,developmentseed,zarrista,d-v-b
153,Support global configuration?,Issue,https://github.com/developmentseed/zarrista/issues/153,"comment,opened",2026-08-07T16:02:54Z,2026-08-12T10:05:29Z,developmentseed,zarrista,kylebarron
154,Support multi-chunk methods like `retrieve_chunks` and `store_chunks`,Issue,https://github.com/developmentseed/zarrista/issues/154,opened,2026-08-07T16:04:49Z,2026-08-07T16:04:49Z,developmentseed,zarrista,kylebarron
155,Support all zarr data types,Issue,https://github.com/developmentseed/zarrista/issues/155,opened,2026-08-07T16:06:56Z,2026-08-07T16:06:56Z,developmentseed,zarrista,kylebarron
156,Expose all codecs to the end user directly.,Issue,https://github.com/developmentseed/zarrista/issues/156,opened,2026-08-07T16:09:20Z,2026-08-07T16:09:20Z,developmentseed,zarrista,kylebarron
