number,title,type,state,author,url,created_at,updated_at,organization,repository,contributor
12,Refactor backfill processing to use partitioned fork and merge approach,Issue,closed,sharkinsspatial,https://github.com/developmentseed/virtualizarr-data-pipelines/issues/12,2026-06-12T19:28:03Z,2026-07-24T19:52:21Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
16,Fix typo in .env.sample,PR,closed,maxrjones,https://github.com/developmentseed/virtualizarr-data-pipelines/pull/16,2026-07-23T02:01:40Z,2026-08-03T16:28:36Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
17,docs: add dark-mode variant of architecture figure,PR,closed,maxrjones,https://github.com/developmentseed/virtualizarr-data-pipelines/pull/17,2026-07-23T02:20:21Z,2026-08-03T16:28:28Z,developmentseed,virtualizarr-data-pipelines,sharkinsspatial
41,Standardize use of `async` prefix/suffix,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/41,2026-06-23T01:10:34Z,2026-08-07T18:18:13Z,developmentseed,zarrista,kylebarron
85,Epic: fleshing out a low-level library,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/85,2026-07-09T16:59:13Z,2026-08-07T16:13:11Z,developmentseed,zarrista,kylebarron
86,expose methods on python store classes,Issue,closed,d-v-b,https://github.com/developmentseed/zarrista/issues/86,2026-07-10T20:55:53Z,2026-07-20T14:53:54Z,developmentseed,zarrista,d-v-b
87,Add `Array.store_metadata` and `AsyncArray.store_metadata`,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/87,2026-07-14T15:43:38Z,2026-07-21T11:15:48Z,developmentseed,zarrista,kylebarron
88,Improve docs that `Array.from_metadata` does not mutate/write metadata,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/88,2026-07-14T15:44:10Z,2026-07-21T11:15:49Z,developmentseed,zarrista,kylebarron
90,feat: add `.store` attribute to retrieve store input,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/90,2026-07-20T14:06:05Z,2026-07-20T14:54:01Z,developmentseed,zarrista,d-v-b
91,Add dependabot,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/91,2026-07-21T10:05:56Z,2026-07-21T10:22:27Z,developmentseed,zarrista,kylebarron
103,Add import sorting to CI,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/103,2026-07-22T13:48:59Z,2026-07-30T15:40:44Z,developmentseed,zarrista,kylebarron
104,FYI: zarrista depends on icechunk via zarrista.store,Issue,closed,psobolewskiPhD,https://github.com/developmentseed/zarrista/issues/104,2026-07-22T14:09:01Z,2026-07-30T17:25:32Z,developmentseed,zarrista,kylebarron
106,Support multi-chunk writes,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/106,2026-07-23T13:12:32Z,2026-08-04T22:56:47Z,developmentseed,zarrista,kylebarron
110,chore(deps): bump zarrs_object_store from 0.6.2 to 0.7.0,PR,closed,dependabot[bot],https://github.com/developmentseed/zarrista/pull/110,2026-07-27T14:56:50Z,2026-07-30T14:17:40Z,developmentseed,zarrista,kylebarron
111,Support resizing existing arrays,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/111,2026-07-28T17:43:19Z,2026-07-31T14:14:13Z,developmentseed,zarrista,kylebarron
112,handle zarr-metadata 0.4.0,Issue,closed,d-v-b,https://github.com/developmentseed/zarrista/issues/112,2026-07-29T20:07:32Z,2026-07-30T14:11:17Z,developmentseed,zarrista,d-v-b
113,fix: adapt to zarr-metadata 0.4 type renames,PR,closed,d-v-b,https://github.com/developmentseed/zarrista/pull/113,2026-07-29T20:11:22Z,2026-08-03T16:36:38Z,developmentseed,zarrista,kylebarron
116,feat: add Array.with_shape and Array.with_chunk_grid,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/116,2026-07-30T16:29:32Z,2026-08-03T16:35:23Z,developmentseed,zarrista,d-v-b
118,Allow setting array attributes,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/118,2026-07-30T17:25:22Z,2026-08-04T22:03:03Z,developmentseed,zarrista,kylebarron
120,Ensure that all docstrings follow google docstring conventions,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/120,2026-07-30T17:58:13Z,2026-07-31T15:48:53Z,developmentseed,zarrista,kylebarron
123,Switch `Array.filters/serializer/compressors` to `Array.codec_chain`,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/123,2026-07-31T19:18:09Z,2026-08-03T19:01:45Z,developmentseed,zarrista,kylebarron
124,Ensure we release GIL everywhere relevant,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/124,2026-07-31T22:51:46Z,2026-08-04T20:07:17Z,developmentseed,zarrista,kylebarron
125,Allow user to manage subchunk read cache,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/125,2026-07-31T23:22:34Z,2026-08-04T21:27:27Z,developmentseed,zarrista,kylebarron
126,feat: Refactor user-facing codec/encoded chunk API,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/126,2026-07-31T23:33:14Z,2026-08-03T16:35:27Z,developmentseed,zarrista,d-v-b
